cancer,pair,selectionSource,nJointlyAssayCoveredBeforeExclusion,nAssayDiscordantSpecimensInCancer,nJointlyAssayCoveredSpecimensExcluded,nJointlyAssayCoveredAfterExclusion,selectedConflictRecordsAllCancers,selectedConflictSpecimensAllCancers,sensitivityDefinition,excludeDiscordantNoBurden_full_or,excludeDiscordantNoBurden_full_ciLow,excludeDiscordantNoBurden_full_ciHigh,excludeDiscordantNoBurden_full_p,excludeDiscordantNoBurden_full_nStrata,excludeDiscordantNoBurden_full_nInformativeStrata,excludeDiscordantNoBurden_wes_or,excludeDiscordantNoBurden_wes_ciLow,excludeDiscordantNoBurden_wes_ciHigh,excludeDiscordantNoBurden_wes_p,excludeDiscordantNoBurden_wes_nStrata,excludeDiscordantNoBurden_wes_nInformativeStrata,excludeDiscordantNoBurden_panel_or,excludeDiscordantNoBurden_panel_ciLow,excludeDiscordantNoBurden_panel_ciHigh,excludeDiscordantNoBurden_panel_p,excludeDiscordantNoBurden_panel_nStrata,excludeDiscordantNoBurden_panel_nInformativeStrata,excludeDiscordantLeaveTwoOut_full_or,excludeDiscordantLeaveTwoOut_full_ciLow,excludeDiscordantLeaveTwoOut_full_ciHigh,excludeDiscordantLeaveTwoOut_full_p,excludeDiscordantLeaveTwoOut_full_nStrata,excludeDiscordantLeaveTwoOut_full_nInformativeStrata,excludeDiscordantLeaveTwoOut_wes_or,excludeDiscordantLeaveTwoOut_wes_ciLow,excludeDiscordantLeaveTwoOut_wes_ciHigh,excludeDiscordantLeaveTwoOut_wes_p,excludeDiscordantLeaveTwoOut_wes_nStrata,excludeDiscordantLeaveTwoOut_wes_nInformativeStrata,excludeDiscordantLeaveTwoOut_panel_or,excludeDiscordantLeaveTwoOut_panel_ciLow,excludeDiscordantLeaveTwoOut_panel_ciHigh,excludeDiscordantLeaveTwoOut_panel_p,excludeDiscordantLeaveTwoOut_panel_nStrata,excludeDiscordantLeaveTwoOut_panel_nInformativeStrata,noBurdenDirectionStableAfterDiscordantExclusion,noBurdenDiscordantExclusionLog2OrDifference,leaveTwoOutDirectionStableAfterDiscordantExclusion,leaveTwoOutDiscordantExclusionLog2OrDifference
AML,ASXL1-NPM1,Figure 8 displayed context,4205,0,0,4205,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2577958595,0.1409741161,0.4714248758,1.163054056e-06,63,21,0.2889710023,0.1018229065,0.8200928749,0.004115755054,49,14,0.2456024425,0.1174133809,0.5137451907,6.540789335e-05,14,7,0.193718187,0.1037542488,0.3616886673,1.627201463e-09,198,42,0.2457120201,0.08458288446,0.7137897603,0.0008034420371,167,23,0.1749620918,0.08120755549,0.3769567176,4.016832475e-07,31,19,True,0,True,0
AML,DNMT3A-SRSF2,Figure 8 displayed context,4205,0,0,4205,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.3620773449,0.257176424,0.5097668039,1.020617741e-09,63,34,0.2969362604,0.1790447702,0.4924530475,2.992282773e-07,49,27,0.4402507037,0.2757850528,0.7027961818,0.0004819361343,14,7,0.2922866809,0.2025909421,0.4216945878,1.888226482e-12,193,79,0.2409633304,0.1384798601,0.4192907658,2.500347463e-08,160,54,0.348214475,0.2129561699,0.5693815804,1.14927855e-05,33,25,True,-4.440892099e-16,True,0
AML,FLT3-NPM1,Figure 8 displayed context,4205,0,0,4205,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,3.143151283,2.502579382,3.947686958,2.434178878e-25,63,23,4.482299828,2.974931033,6.753437819,1.432889972e-14,49,16,2.636250127,1.997779625,3.478769452,5.083285595e-13,14,7,2.55933533,2.025118075,3.23447675,3.120780253e-19,192,56,4.2147742,2.729656322,6.507896769,7.085423554e-13,160,37,2.054610164,1.5520865,2.719837409,6.009070714e-09,32,19,True,2.220446049e-16,True,0
AML,NPM1-RUNX1,Figure 8 displayed context; prespecified reference context,4205,0,0,4205,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.09400139364,0.0462806614,0.1909277382,6.421581682e-16,63,17,0.2262617755,0.05676590817,0.9018510004,0.01950978448,49,10,0.07446807605,0.03248835766,0.1706917416,7.42156526e-15,14,7,0.06811537862,0.03303617534,0.1404431584,4.206042082e-21,198,34,0.210622574,0.05449267679,0.8140886319,0.01738000352,168,17,0.04930325702,0.02047122031,0.1187428554,2.627501257e-20,30,17,True,-4.440892099e-16,True,0
BLCA,FGFR3-RB1,Figure 8 displayed context,4159,86,86,4073,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.1693151066,0.1143554847,0.2506885036,3.885392557e-24,74,38,0.2397321803,0.1254277678,0.4582041064,2.489225309e-06,17,14,0.1415815831,0.08627533391,0.2323415483,1.513967812e-19,57,24,0.1568895657,0.1045844448,0.2353536981,1.382683399e-24,231,92,0.212889454,0.1108521141,0.4088502956,2.567673851e-07,69,36,0.1320745364,0.07863560445,0.2218293264,6.604932051e-19,162,56,True,-0.02808128036,True,0.02550245211
BLCA,FGFR3-TP53,Figure 8 displayed context,4159,86,86,4073,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2160315541,0.1777498984,0.2625578569,1.073399662e-61,74,47,0.2455686079,0.1728199592,0.348940837,6.132269029e-17,17,15,0.2037532919,0.1611697751,0.2575880243,1.026575927e-46,57,32,0.1923964316,0.1561631903,0.2370365694,1.728826135e-64,231,136,0.2034425233,0.1406611823,0.2942450762,1.591409026e-20,69,49,0.1873488413,0.1454773633,0.2412718207,1.034837303e-45,162,87,True,0.01008810316,True,0.02328635743
BLCA,RB1-TP53,Figure 8 displayed context,4159,86,86,4073,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,4.125240106,3.380618246,5.033873892,1.663620628e-49,74,47,3.958540077,2.868505469,5.462788799,4.10355741e-19,17,14,4.229417814,3.283156868,5.448407055,4.475395835e-32,57,33,3.887426822,3.158188118,4.785049761,8.78599146e-42,229,110,3.426556996,2.448482622,4.79533436,3.596493267e-14,69,40,4.195497373,3.220219302,5.466148904,2.34081849e-29,160,70,True,-0.03152701461,True,-0.01988423055
BRCA,AKT1-PIK3CA,Figure 8 displayed context,12717,4,4,12713,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.1909625577,0.1435761447,0.2539885613,2.170550644e-37,147,61,0.2194333673,0.1141507241,0.4218195117,4.726706774e-07,62,24,0.1846971034,0.1345432624,0.2535468473,6.069464844e-32,85,37,0.1873879464,0.140534958,0.2498612654,1.273512502e-37,418,154,0.2169012144,0.1122420053,0.4191491116,4.680603344e-07,185,57,0.180971171,0.1314531773,0.2491424355,3.676406605e-32,233,97,True,-0.0002367063337,True,-0.0007491419396
BRCA,ESR1-TP53,Figure 8 displayed context,10284,4,4,10280,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2836695556,0.2270303796,0.3544389826,4.473356682e-32,141,60,0.2406949561,0.1466347476,0.3950909512,7.870712864e-10,62,22,0.2965258108,0.231034972,0.380581155,6.508695991e-24,79,38,0.2613663814,0.2078491269,0.3286633259,2.270305562e-34,394,149,0.2271546215,0.1370759866,0.376427873,1.722579879e-10,185,46,0.2717344855,0.210062768,0.3515122235,1.388693949e-25,209,103,True,0.0024660291,True,0.001261413963
BRCA,PIK3CA-TP53,Figure 8 displayed context,12717,4,4,12713,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.6006513117,0.554208097,0.6509865162,7.625130574e-36,147,93,0.6969228843,0.591802662,0.8207153126,1.445395993e-05,62,37,0.5727735004,0.5221816952,0.6282669151,1.144740457e-32,85,56,0.5871490173,0.5406746515,0.6376181453,3.034032072e-37,418,280,0.6860742428,0.5785581955,0.8135704762,1.408894537e-05,184,117,0.5599725947,0.5095985899,0.6153260881,4.867993929e-34,234,163,True,-0.0001056580365,True,-0.0001883502576
CCRCC,BAP1-PBRM1,Figure 8 displayed context,2625,0,0,2625,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.3315548761,0.2479111452,0.4434194994,1.183265251e-14,19,16,0.3105062764,0.2124822043,0.4537516354,2.131836648e-10,9,8,0.3695979615,0.2349357337,0.5814468961,1.136574382e-05,10,8,0.2835638384,0.210738297,0.381555947,1.882691915e-18,68,45,0.2544124631,0.1727349956,0.3747109908,1.328333984e-13,37,23,0.339822772,0.2136246053,0.5405721695,2.394768766e-06,31,22,True,2.220446049e-16,True,0
CHOL,BAP1-TP53,Figure 8 displayed context,2591,0,0,2591,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2575842378,0.1714074806,0.3870871874,4.631824207e-12,44,29,0.3062129037,0.1873446392,0.5005018707,6.996152843e-07,16,11,0.1891791004,0.09052349271,0.3953529735,1.287411718e-06,28,18,0.2764238844,0.1815308782,0.420921028,3.245454563e-10,153,64,0.3259861475,0.1946827494,0.5458468645,1.20668062e-05,57,25,0.2104619389,0.1004844859,0.4408066311,5.08310465e-06,96,39,True,4.440892099e-16,True,0
COADREAD,APC-BRAF,Figure 8 displayed context,11245,46,46,11199,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2848062404,0.2499532665,0.3245190419,3.44548167e-88,112,68,0.3253666193,0.2633497529,0.4019879868,3.334681096e-27,25,18,0.2600528604,0.2204781317,0.3067310561,7.836193841e-65,87,50,0.2753900051,0.238750142,0.317652816,8.31736554e-78,345,156,0.2730968207,0.2152892598,0.3464263548,7.838708931e-30,100,51,0.2767875963,0.2315720425,0.3308317041,8.514473011e-50,245,105,True,-0.0006785662588,True,-0.005150657003
COADREAD,APC-KRAS,Figure 8 displayed context,11245,46,46,11199,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,1.889499353,1.727066138,2.06720966,5.613184749e-45,112,85,2.33584957,2.033797652,2.682761094,1.153625879e-34,25,20,1.614534256,1.434084445,1.817689936,1.572078921e-15,87,65,1.609475087,1.464637614,1.768635484,1.636925964e-23,342,223,1.695581821,1.462109093,1.966335978,1.33954063e-12,100,75,1.553572255,1.374787082,1.755607675,1.156495887e-12,242,148,True,0.005299139841,True,0.003646813947
COADREAD,APC-RNF43,Figure 8 displayed context,11118,46,46,11072,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2242412542,0.1950391951,0.257815564,1.117581811e-118,107,62,0.2844179427,0.2283048002,0.3543226688,3.337403822e-33,25,18,0.1879110253,0.1569845888,0.2249300628,3.48356456e-92,82,44,0.195707373,0.1652569993,0.2317685544,5.758221359e-100,332,134,0.218557433,0.1685763315,0.283357403,1.192146725e-36,100,50,0.1802238387,0.1441752213,0.2252858136,7.76781567e-66,232,84,True,0.006443604093,True,0.008205077036
COADREAD,BRAF-KRAS,Figure 8 displayed context; prespecified reference context; prespecified principal context,11245,46,46,11199,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.1472334248,0.120993261,0.1791643701,4.982539504e-106,112,66,0.1689247044,0.121881164,0.2341260522,3.37234359e-33,25,18,0.1361888018,0.1065215502,0.1741186615,4.549602727e-75,87,48,0.1282437022,0.1039101381,0.158275674,1.511281526e-107,342,158,0.1317778553,0.0923854941,0.1879667723,2.439651807e-37,100,49,0.1264457204,0.09738057158,0.1641859351,4.716570942e-72,242,109,True,0.003027579948,True,0.004541220174
COADREAD,BRAF-RNF43,Figure 8 displayed context,11118,46,46,11072,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,8.578076651,7.351711547,10.00901607,8.716891255e-202,107,53,7.974934044,6.240376145,10.19162492,4.189001853e-75,25,17,8.996015566,7.375633114,10.97238634,8.955852751e-129,82,36,3.802722505,3.14996281,4.590752122,3.889518784e-49,327,104,2.847156132,2.114299861,3.834034229,4.705295536e-13,100,36,4.623694749,3.617184834,5.910273905,5.245285535e-39,227,68,True,0.01231768118,True,0.007875808156
COADREAD,KRAS-NRAS,Figure 8 displayed context,11245,46,46,11199,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.1233627395,0.08705027829,0.1748227092,1.033207898e-44,112,53,0.2198753338,0.1362330174,0.3548711121,1.063036847e-11,25,19,0.07546622927,0.04473628314,0.1273049829,1.105995632e-35,87,34,0.117553265,0.08242612972,0.1676503574,6.35787826e-47,343,135,0.1962339039,0.1217595712,0.316260518,2.090656963e-14,100,53,0.07367876938,0.04293586197,0.126434193,1.190847737e-34,243,82,True,0.009613769477,True,0.005960996251
COADREAD,KRAS-TP53,Figure 8 displayed context,11245,46,46,11199,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.5790396574,0.5316427705,0.6306620599,2.359510446e-37,112,84,0.9133675641,0.8011381243,1.041318946,0.1707715317,25,19,0.4087628346,0.3646301755,0.4582370471,7.759474677e-55,87,65,0.4603734379,0.4189798937,0.5058564994,6.404355303e-62,342,224,0.6503402114,0.5629061698,0.7513550451,2.357113334e-09,99,79,0.3560557279,0.3140191608,0.4037195725,4.638244827e-62,243,145,True,0.006038037376,True,0.001075433123
COADREAD,PIK3CA-TP53,Figure 8 displayed context,11245,46,46,11199,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.3971079989,0.3592979949,0.438896863,1.262231585e-78,112,77,0.5555695549,0.474710672,0.6502013721,4.235387111e-14,25,19,0.3097657654,0.2722597977,0.3524384804,1.964950606e-74,87,58,0.4769609804,0.4284712569,0.5309382443,1.834538233e-44,343,206,0.5591730141,0.4721450686,0.6622423499,3.570981677e-12,100,72,0.4267082195,0.3715531498,0.4900507631,1.836325278e-35,243,134,True,-0.002822396572,True,-0.00486462765
